name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license
tensorflow,tensorflow,C++,197035,76051,197035,2958,2015-11-07,2026-08-18,Apache License 2.0
transformers,huggingface,Python,164216,34268,164216,2370,2018-10-29,2026-08-18,Apache License 2.0
ML-For-Beginners,microsoft,Jupyter Notebook,89476,21961,89476,11,2021-03-03,2026-08-18,MIT License
funNLP,fighting41love,Python,82523,15265,82523,53,2018-08-21,2026-08-18,No License
awesome-machine-learning,josephmisiti,Python,74054,15610,74054,25,2014-07-15,2026-08-18,Other
scikit-learn,scikit-learn,Python,66968,27290,66968,2121,2010-08-17,2026-08-18,"BSD 3-Clause ""New"" or ""Revised"" License"
gradio,gradio-app,Python,43376,3576,43376,181,2018-12-19,2026-08-18,Apache License 2.0
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,Unknown,36352,7442,36352,67,2021-01-02,2026-08-18,No License
C-Plus-Plus,TheAlgorithms,C++,34583,7850,34583,30,2016-07-16,2026-08-18,MIT License
netron,lutzroeder,JavaScript,33363,3173,33363,16,2010-12-26,2026-08-18,MIT License
ML-From-Scratch,eriklindernoren,Python,32488,5430,32488,78,2017-02-05,2026-08-18,MIT License
applied-ml,eugeneyan,Unknown,30067,3992,30067,8,2020-07-04,2026-08-18,MIT License
machine-learning-for-software-engineers,ZuzooVn,Unknown,28861,6148,28861,32,2016-10-09,2026-08-18,Creative Commons Attribution Share Alike 4.0 International
linkedin-skill-assessments-quizzes,Ebazhanov,Python,28814,12908,28814,21,2019-07-13,2026-08-18,GNU Affero General Public License v3.0
cs249r_book,harvard-edge,Python,27950,3530,27950,75,2023-09-06,2026-08-18,Other
shap,shap,Jupyter Notebook,25691,3740,25691,1010,2016-11-22,2026-08-18,MIT License
homemade-machine-learning,trekhleb,Jupyter Notebook,24763,4194,24763,31,2018-11-01,2026-08-18,MIT License
Paddle,PaddlePaddle,C++,24056,6014,24056,1512,2016-08-15,2026-08-18,Apache License 2.0
best-of-ml-python,lukasmasuch,Unknown,23715,3141,23715,54,2020-11-29,2026-08-18,Creative Commons Attribution Share Alike 4.0 International
C,TheAlgorithms,C,22329,4767,22329,18,2016-07-16,2026-08-18,GNU General Public License v3.0
onnx,onnx,Python,21325,4001,21325,288,2017-09-07,2026-08-18,Apache License 2.0
rasa,RasaHQ,Python,21294,4919,21294,153,2016-10-14,2026-08-18,Apache License 2.0
video2x,k4yt3x,C++,20957,1816,20957,130,2018-02-24,2026-08-18,GNU Affero General Public License v3.0
awesome-production-machine-learning,EthicalML,Unknown,20851,2590,20851,31,2018-08-15,2026-08-18,MIT License
machine-learning-for-trading,stefan-jansen,Jupyter Notebook,20496,5525,20496,6,2018-05-09,2026-08-18,MIT License
stanford-cs-229-machine-learning,afshinea,Unknown,20124,4248,20124,20,2018-08-04,2026-08-18,MIT License
ml-agents,Unity-Technologies,C#,19631,4482,19631,20,2017-09-08,2026-08-18,Other
LightGBM,lightgbm-org,C++,18695,4053,18695,510,2016-08-05,2026-08-18,MIT License
ml-engineering,stas00,Python,18651,1201,18651,3,2020-09-02,2026-08-18,Creative Commons Attribution Share Alike 4.0 International
Machine-Learning-Tutorials,ujjwalkarn,Unknown,18108,3969,18108,47,2015-09-12,2026-08-18,Creative Commons Zero v1.0 Universal
ML-NLP,NLP-LOVE,Jupyter Notebook,17794,4629,17794,36,2019-07-05,2026-08-18,No License
brpc,apache,C++,17584,4131,17584,463,2017-09-04,2026-08-18,Apache License 2.0
ML-YouTube-Courses,dair-ai,Unknown,17363,2120,17363,21,2021-06-25,2026-08-18,Creative Commons Zero v1.0 Universal
numpy-ml,ddbourgin,Python,16335,3745,16335,48,2019-04-06,2026-08-18,GNU General Public License v3.0
transformers.js,huggingface,JavaScript,16261,1181,16261,276,2023-02-13,2026-08-18,Apache License 2.0
mml-book.github.io,mml-book,Jupyter Notebook,15883,2842,15883,197,2017-12-08,2026-08-18,No License
kubeflow,kubeflow,Unknown,15819,2689,15819,0,2017-11-30,2026-08-18,Apache License 2.0
cheatsheets-ai,kailashahirwar,Unknown,15428,3372,15428,12,2017-05-24,2026-08-17,MIT License
ggml,ggml-org,C++,15188,1782,15188,347,2022-09-18,2026-08-18,MIT License
Qix,ty4z2008,Unknown,15184,4575,15184,0,2014-04-20,2026-08-17,Other
imgaug,aleju,Python,14739,2451,14739,312,2015-07-10,2026-08-14,MIT License
bullet3,bulletphysics,C++,14680,3088,14680,423,2011-04-12,2026-08-18,Other
ChatterBot,gunthercox,Python,14510,4420,14510,73,2014-09-28,2026-08-18,"BSD 3-Clause ""New"" or ""Revised"" License"
dlib,davisking,C++,14432,3442,14432,38,2014-01-29,2026-08-18,Boost Software License 1.0
nni,microsoft,Python,14363,1852,14363,415,2018-06-01,2026-08-16,MIT License
mit-deep-learning-book-pdf,janishar,Java,14197,2909,14197,12,2017-04-07,2026-08-17,No License
ivy,unifyai,Python,14170,5465,14170,985,2021-01-19,2026-08-18,Other
handson-ml3,ageron,Jupyter Notebook,13946,5248,13946,107,2022-02-19,2026-08-18,Apache License 2.0
machine-learning-zoomcamp,DataTalksClub,Jupyter Notebook,13933,3092,13933,3,2020-04-17,2026-08-18,No License
tvm,apache,Python,13669,3957,13669,243,2016-10-12,2026-08-18,Apache License 2.0
Ai-Learn,tangyudi,Unknown,13265,2675,13265,20,2020-01-28,2026-08-18,No License
deep-learning-drizzle,kmario23,HTML,12931,2987,12931,5,2018-11-26,2026-08-17,No License
machine-learning-interview,khangich,Unknown,12782,2043,12782,9,2020-08-11,2026-08-17,No License
python-machine-learning-book,rasbt,Jupyter Notebook,12641,4373,12641,13,2015-08-07,2026-08-17,MIT License
predictionio,apache,Scala,12518,1899,12518,80,2013-01-25,2026-08-17,Apache License 2.0
lime,marcotcr,JavaScript,12165,1847,12165,133,2016-03-15,2026-08-17,"BSD 2-Clause ""Simplified"" License"
cleanlab,cleanlab,Python,11628,915,11628,119,2018-05-11,2026-08-18,Apache License 2.0
dive-into-machine-learning,dive-into-machine-learning,Unknown,11392,1866,11392,0,2015-02-22,2026-08-17,Creative Commons Attribution 4.0 International
MLAlgorithms,rushter,Python,11166,1768,11166,10,2016-10-05,2026-08-18,MIT License
